pal|freq
The|717
Project|84
Gutenberg|28
EBook|2
Moby|82
Dick|82
Whale|305
Herman|4
Melville|4
This|108
eBook|6
use|43
anyone|6
anywhere|16
cost|4
almost|187
restrictions|2
whatsoever|7
You|59
may|243
copy|19
give|72
away|171
reuse|2
terms|30
License|10
included|12
online|4
wwwgutenbergorg|4
Title|1
Author|2
Release|1
Date|1
December|5
25|3
2008|1
2701|1
Last|1
Updated|2
October|2
24|4
2016|1
Language|1
English|47
Character|1
set|81
encoding|1
UTF8|1
START|2
OF|14
THIS|8
PROJECT|4
GUTENBERG|3
EBOOK|2
MOBY|3
DICK|3
OR|8
THE|14
WHALE|10
Produced|2
Daniel|4
Lazarus|7
Jonesey|2
David|2
Widger|2
By|55
CONTENTS|1
ETYMOLOGY|2
EXTRACTS|3
Supplied|3
SubSubLibrarian|2
CHAPTER|284
1|5
Loomings|2
2|3
CarpetBag|2
3|10
SpouterInn|5
4|5
Counterpane|2
5|3
Breakfast|2
6|2
Street|4
7|2
Chapel|5
8|2
Pulpit|2
9|2
Sermon|2
10|2
A|138
Bosom|2
Friend|2
11|2
Nightgown|2
12|2
Biographical|2
13|3
Wheelbarrow|2
14|2
Nantucket|90
15|2
Chowder|3
16|2
Ship|8
17|2
Ramadan|12
18|2
His|56
Mark|8
19|2
Prophet|4
20|3
All|57
Astir|2
21|2
Going|7
Aboard|2
22|2
Merry|2
Christmas|6
23|2
Lee|2
Shore|3
Advocate|2
Postscript|2
26|2
Knights|4
Squires|4
27|2
28|2
Ahab|500
29|2
Enter|3
Him|4
Stubb|256
30|4
Pipe|2
31|2
Queen|15
Mab|2
32|2
Cetology|7
33|2
Specksnyder|4
34|2
CabinTable|2
35|2
MastHead|2
36|2
QuarterDeck|2
37|2
Sunset|2
38|2
Dusk|2
39|2
First|25
Night|5
Watch|8
40|3
Midnight|4
Forecastle|4
41|2
42|2
Whiteness|2
43|2
Hark|12
44|2
Chart|2
45|3
Affidavit|2
46|2
Surmises|2
47|2
MatMaker|2
48|2
Lowering|2
49|2
Hyena|4
50|3
’|2703
Boat|5
Crew|2
Fedallah|28
51|2
SpiritSpout|2
52|2
Albatross|4
53|2
Gam|4
54|2
TownHo|14
Story|4
55|2
Of|27
Monstrous|2
Pictures|6
Whales|33
56|2
Less|3
Erroneous|2
True|15
Whaling|14
Scenes|2
57|2
Paint|2
Teeth|3
Wood|2
SheetIron|2
Stone|2
Mountains|6
Stars|2
58|2
Brit|2
59|2
Squid|4
60|3
Line|15
61|2
Kills|2
62|2
Dart|2
63|2
Crotch|2
64|2
Supper|6
65|2
Dish|2
66|2
Shark|4
Massacre|2
67|2
Cutting|3
In|238
68|2
Blanket|3
69|2
Funeral|2
70|2
Sphynx|3
71|2
Jeroboam|11
72|2
MonkeyRope|2
73|2
Flask|102
Kill|3
Right|55
Then|58
Have|9
Talk|5
74|2
Sperm|139
Head—Contrasted|4
View|4
75|2
76|2
BatteringRam|2
77|2
Great|14
Heidelburgh|9
Tun|12
78|2
Cistern|2
Buckets|2
79|2
Prairie|2
80|2
Nut|2
81|2
Pequod|176
Meets|11
Virgin|6
82|2
Honour|2
Glory|2
83|2
Jonah|83
Historically|2
Regarded|2
84|2
Pitchpoling|2
85|2
Fountain|2
86|2
Tail|2
87|2
Grand|10
Armada|2
88|2
Schools|2
Schoolmasters|2
89|3
FastFish|16
LooseFish|15
90|5
Heads|2
Tails|2
91|2
RoseBud|2
92|2
Ambergris|2
93|2
Castaway|2
94|2
Squeeze|3
Hand|7
95|2
Cassock|2
96|2
TryWorks|2
97|2
Lamp|2
98|2
Stowing|2
Down|9
Clearing|2
Up|15
99|2
Doubloon|4
100|2
Leg|4
Arm|2
101|2
Decanter|2
102|2
Bower|2
Arsacides|4
103|2
Measurement|2
Skeleton|2
104|2
Fossil|4
105|2
Does|7
Magnitude|2
Diminish|2
—Will|2
He|231
Perish|2
106|2
107|2
Carpenter|10
108|2
109|2
Starbuck|191
Cabin|4
110|2
Queequeg|242
Coffin|16
111|2
Pacific|34
112|2
Blacksmith|2
113|2
Forge|2
114|2
Gilder|2
115|2
Bachelor|8
116|2
Dying|2
117|2
118|2
Quadrant|2
119|2
Candles|2
120|2
Deck|4
Towards|8
End|3
121|2
Midnight—The|2
Bulwarks|2
122|2
Aloft—Thunder|2
Lightning|2
123|2
Musket|2
124|2
Needle|2
125|2
Log|2
126|2
LifeBuoy|2
127|2
128|2
Rachel|7
129|2
130|2
Hat|2
131|2
Delight|9
132|2
Symphony|2
133|2
Chase—First|2
Day|7
134|2
Chase—Second|2
135|2
Chase—Third|2
Epilogue|2
Original|1
Transcriber|1
Notes|1
text|5
combination|2
etexts|1
one|875
nowdefunct|1
ERIS|1
project|3
Virginia|6
Tech|2
archives|1
proofreaders|1
version|4
indebted|2
University|1
Adelaide|1
Library|1
preserving|3
resulting|3
etext|1
compared|9
public|14
domain|8
hard|78
chapters|7
substituted|2
capital|4
L|1
symbol|12
British|4
pound|6
unit|1
currency|1
Late|1
Consumptive|1
Usher|1
Grammar|2
School|1
pale|17
Usher—threadbare|1
coat|23
heart|86
body|110
brain|34
I|2078
see|249
ever|190
dusting|2
old|429
lexicons|1
grammars|2
queer|40
handkerchief|5
mockingly|1
embellished|3
gay|13
flags|1
known|80
nations|12
world|167
loved|3
dust|10
somehow|43
mildly|10
reminded|4
mortality|1
“|1630
While|31
take|117
hand|196
school|8
others|38
teach|5
name|69
whalefish|1
called|112
tongue|11
leaving|36
ignorance|10
letter|10
H|2
alone|39
maketh|5
signification|1
word|74
deliver|3
true|70
”|1486
—Hackluyt|1
Sw|1
Dan|4
hval|1
animal|17
named|12
roundness|1
rolling|31
hvalt|1
arched|8
vaulted|2
—Webster|1
Dictionary|3
It|307
immediately|14
Dut|1
Ger|1
Wallen|1
AS|1
Walwian|1
roll|16
wallow|3
—Richardson|1
חן|1
Hebrew|4
ϰητος|1
Greek|9
CETUS|1
Latin|5
WHŒL|1
AngloSaxon|1
HVALT|1
Danish|3
WAL|1
Dutch|25
HWAL|1
Swedish|1
Icelandic|3
BALEINE|1
French|20
BALLENA|1
Spanish|9
PEKEENUEENUEE|1
Fegee|1
PEHEENUEENUEE|1
Erromangoan|1
seen|157
mere|41
painstaking|1
burrower|1
grubworm|1
poor|99
devil|48
SubSub|2
appears|8
gone|54
long|305
Vaticans|1
streetstalls|1
earth|43
picking|4
whatever|44
random|5
allusions|7
whales|235
could|216
anyways|2
find|54
book|35
sacred|7
profane|4
Therefore|11
must|291
every|220
case|67
least|73
higgledypiggledy|1
whale|786
statements|5
however|74
authentic|3
extracts|4
veritable|4
gospel|1
cetology|4
Far|4
As|121
touching|45
ancient|28
authors|3
generally|31
well|161
poets|3
appearing|3
solely|6
valuable|11
entertaining|2
affording|2
glancing|11
bird|15
eye|82
view|46
promiscuously|1
said|297
thought|147
fancied|8
sung|2
Leviathan|64
many|161
generations|8
including|15
So|144
fare|9
thee|128
whose|86
commentator|1
Thou|39
belongest|1
hopeless|8
sallow|1
tribe|9
wine|11
warm|24
even|176
Pale|1
Sherry|1
would|418
rosystrong|1
sometimes|81
loves|1
sit|16
feel|56
poordevilish|1
grow|23
convivial|4
upon|541
tears|6
say|224
bluntly|1
full|120
eyes|154
empty|19
glasses|7
altogether|29
unpleasant|3
sadness—Give|1
SubSubs|1
For|198
much|217
pains|15
ye|455
please|13
shall|86
go|177
thankless|1
Would|11
clear|38
Hampton|1
Court|1
Tuileries|3
But|699
gulp|2
hie|1
aloft|51
royalmast|2
hearts|26
friends|16
clearing|4
sevenstoried|1
heavens|16
making|42
refugees|1
longpampered|1
Gabriel|20
Michael|3
Raphael|1
coming|48
Here|47
strike|28
splintered|7
together—there|1
unsplinterable|1
And|368
God|125
created|7
great|290
—Genesis|1
path|8
shine|3
One|28
think|108
deep|65
hoary|2
—Job|1
Now|138
Lord|44
prepared|12
fish|104
swallow|8
—Jonah|1
There|149
ships|77
thou|229
hast|19
made|176
play|25
therein|5
—Psalms|1
day|157
sore|3
strong|33
sword|15
punish|1
piercing|4
serpent|3
crooked|8
slay|4
dragon|5
sea|362
—Isaiah|1
thing|184
soever|1
besides|20
cometh|1
within|79
chaos|4
monster|45
mouth|58
beast|4
boat|281
stone|10
goes|54
incontinently|1
foul|11
perisheth|1
bottomless|7
gulf|4
paunch|2
—Holland|2
Plutarch|1
Morals|1
Indian|56
Sea|19
breedeth|1
biggest|2
fishes|3
among|159
Whirlpooles|1
Balaene|1
length|77
four|67
acres|3
arpens|1
land|73
Pliny|8
Scarcely|1
proceeded|6
two|277
days|83
sunrise|13
monsters|8
appeared|10
Among|8
former|20
monstrous|10
size|12
came|129
towards|107
us|228
openmouthed|3
raising|4
waves|47
sides|27
beating|10
foam|15
—Tooke|1
Lucian|1
History|8
visited|7
country|25
also|90
catching|7
horsewhales|1
bones|44
value|6
teeth|44
brought|38
king|24
best|61
catched|1
fortyeight|2
fifty|33
yards|25
six|23
killed|33
sixty|14
—Other|1
Other|3
verbal|2
narrative|10
taken|51
King|28
Alfred|2
AD|12
890|1
whereas|14
things|130
whether|74
vessel|52
enter|9
dreadful|6
lost|45
swallowed|13
seagudgeon|1
retires|1
security|3
sleeps|7
—MONTAIGNE|1
—Apology|1
Raimond|1
Sebond|1
Let|38
fly|14
let|117
Old|11
Nick|1
described|8
noble|43
prophet|12
Moses|2
life|134
patient|6
Job|5
—Rabelais|1
liver|3
cartloads|1
—Stowe|1
Annals|1
seas|79
seethe|3
like|553
boiling|15
pan|2
—Lord|1
Bacon|1
Version|2
Psalms|1
Touching|1
bulk|32
ork|1
received|31
nothing|99
certain|89
They|81
exceeding|12
fat|11
insomuch|2
incredible|9
quantity|13
oil|78
extracted|5
—Ibid|3
Life|9
Death|18
sovereignest|1
parmacetti|3
inward|4
bruise|1
—King|1
Henry|3
Very|11
—Hamlet|1
Which|6
secure|13
skill|10
leach|1
art|39
Mote|1
availle|1
returne|1
againe|1
To|65
wound|16
worker|1
lowly|8
dart|24
Dinting|1
breast|7
bred|6
restless|3
paine|1
Like|23
wounded|9
shore|21
flies|4
thro|1
maine|1
—The|7
Faerie|1
Immense|1
motion|16
vast|73
bodies|9
peaceful|6
calm|39
trouble|10
ocean|62
till|121
boil|2
—Sir|3
William|4
Davenant|1
Preface|1
Gondibert|1
What|172
spermacetti|1
men|228
might|182
justly|3
doubt|32
since|61
learned|25
Hosmannus|1
work|103
thirty|25
years|92
saith|5
plainly|39
Nescio|1
quid|2
T|6
Browne|6
Sperma|2
Ceti|2
Vide|1
V|5
E|2
Spencer|1
Talus|1
modern|18
flail|1
threatens|1
ruin|5
ponderous|13
tail|76
Their|6
fixed|37
jav|1
lins|1
side|186
wears|7
back|146
grove|3
pikes|2
—Waller|1
Battle|1
Summer|2
Islands|6
Commonwealth|1
State—|1
Civitas|1
artificial|5
man|472
—Opening|1
sentence|3
Hobbes|1
Silly|1
Mansoul|1
without|159
chewing|1
sprat|1
—Pilgrim|1
Progress|1
That|85
works|44
Created|1
hugest|3
swim|20
stream|11
—Paradise|1
Lost|3
—|43
Hugest|1
living|72
creatures|33
Stretched|1
promontory|5
swims|8
seems|83
moving|14
gills|4
Draws|1
breath|16
spouts|16
mighty|47
water|162
swimming|29
—Fuller|1
Profane|1
Holy|6
State|3
close|49
behind|50
lie|27
huge|29
attend|9
prey|12
chance|43
fry|3
gaping|3
jaws|29
mistake|9
way|259
—Dryden|1
Annus|1
Mirabilis|1
floating|24
stern|46
ship|454
cut|43
head|267
tow|10
near|69
come|146
aground|1
twelve|15
thirteen|2
feet|125
—Thomas|3
Edge|1
Ten|3
Voyages|6
Spitzbergen|5
Purchas|3
saw|112
sporting|4
wantonness|1
fuzzing|1
pipes|8
vents|1
nature|34
placed|37
shoulders|13
Herbert|1
Asia|5
Africa|8
Harris|5
Coll|2
troops|2
forced|17
proceed|13
deal|12
caution|2
fear|32
run|49
—Schouten|1
Sixth|1
Circumnavigation|1
We|47
sail|77
Elbe|1
wind|67
NE|1
JonasintheWhale|1
Some|39
open|68
fable|4
frequently|15
climb|4
masts|24
first|211
discoverer|2
ducat|1
told|46
Shetland|2
barrel|1
herrings|1
belly|9
harpooneers|53
caught|44
white|158
—A|3
Voyage|9
Greenland|36
1671|2
Several|1
coast|34
Fife|2
Anno|1
1652|1
eighty|3
whalebone|12
kind|26
informed|4
afford|9
500|2
weight|17
baleen|11
stand|71
gate|4
garden|5
Pitferren|1
—Sibbald|1
Kinross|1
Myself|1
agreed|4
try|28
master|20
kill|23
Spermaceti|4
never|193
hear|61
sort|152
fierceness|1
swiftness|6
—Richard|1
Strafford|1
Letter|3
Bermudas|1
Phil|1
Trans|1
1668|1
voice|45
obey|8
—N|1
Primer|1
abundance|4
large|78
southern|5
hundred|50
northward|4
—Captain|1
Cowley|1
round|238
Globe|5
1729|1
attended|6
insupportable|1
smell|11
bring|17
disorder|1
—Ulloa|1
South|19
America|12
chosen|3
sylphs|1
special|15
note|5
trust|4
important|20
charge|16
petticoat|1
Oft|1
sevenfold|1
fence|2
fail|17
Tho|1
stuffed|5
hoops|11
armed|10
ribs|18
—Rape|1
Lock|1
If|74
compare|7
animals|5
respect|16
magnitude|21
abode|2
appear|7
contemptible|4
comparison|6
doubtless|12
largest|19
creation|8
—Goldsmith|2
Nat|2
Hist|4
write|5
little|247
make|112
speak|45
wales|1
Johnson|4
afternoon|10
supposed|15
rock|13
found|118
dead|90
Asiatics|2
towing|14
ashore|33
seemed|281
endeavor|4
conceal|2
order|64
avoid|6
—Cook|1
larger|9
seldom|24
venture|5
attack|9
dread|12
afraid|15
mention|15
names|11
carry|26
dung|1
limestone|2
juniperwood|1
