pal|freq
The|447
Project|83
Gutenberg|27
EBook|2
Thus|217
Spake|13
Zarathustra|697
Friedrich|6
Nietzsche|171
This|111
eBook|6
use|17
anyone|5
anywhere|3
cost|4
almost|26
restrictions|2
whatsoever|2
You|17
may|170
copy|14
give|59
away|105
reuse|2
terms|22
License|10
included|3
online|4
wwwgutenbergorg|4
Title|1
A|120
Book|2
All|73
None|4
Author|1
Translator|1
Thomas|2
Common|2
Posting|1
Date|2
November|3
7|10
2008|1
1998|1
Release|1
December|2
1999|1
Last|1
Updated|2
16|7
2016|1
Language|1
English|4
Character|1
set|32
encoding|1
UTF8|1
START|2
OF|39
THIS|21
PROJECT|4
GUTENBERG|3
EBOOK|2
THUS|10
SPAKE|7
ZARATHUSTRA|17
Produced|2
Sue|2
Asscher|2
BOOK|1
FOR|21
ALL|9
AND|24
NONE|1
By|17
Translated|1
PG|2
Editor|1
’|543
Note|23
Archaic|1
spelling|1
punctuation|1
usages|1
changed|12
I|1836
particular|7
quotations|1
often|43
closed|6
several|4
paragraphs|8
DW|1
CONTENTS|1
INTRODUCTION|2
BY|5
MRS|2
FORSTERNIETZSCHE|3
FIRST|2
PART|12
Prologue|10
Discourses|1
Three|13
Metamorphoses|2
II|7
Academic|2
Chairs|2
Virtue|13
III|6
Backworldsmen|1
IV|6
Despisers|4
Body|5
V|2
Joys|2
Passions|1
VI|2
Pale|1
Criminal|1
VII|2
Reading|2
Writing|2
VIII|2
Tree|1
Hill|1
IX|4
Preachers|2
Death|7
X|2
War|3
Warriors|2
XI|2
New|10
Idol|1
XII|2
Flies|2
Marketplace|2
XIII|2
Chastity|2
XIV|2
Friend|1
XV|3
Thousand|2
One|46
Goals|2
XVI|2
NeighbourLove|2
XVII|2
Way|2
Creating|5
XVIII|4
Old|8
Young|2
Women|5
XIX|2
Bite|10
Adder|1
XX|2
Child|5
Marriage|5
XXI|3
Voluntary|5
XXII|4
Bestowing|5
SECOND|3
XXIII|3
Mirror|3
XXIV|3
In|152
Happy|16
Isles|15
XXV|2
Pitiful|2
XXVI|2
Priests|1
XXVII|2
Virtuous|1
XXVIII|2
Rabble|1
XXIX|3
Tarantulas|3
XXX|3
Famous|2
Wise|3
Ones|4
XXXI|2
NightSong|2
XXXII|2
DanceSong|2
XXXIII|3
GraveSong|3
XXXIV|3
SelfSurpassing|2
XXXV|3
Sublime|2
XXXVI|5
Land|2
Culture|4
XXXVII|3
Immaculate|4
Perception|4
XXXVIII|3
Scholars|2
XXXIX|3
Poets|3
XL|4
Great|6
Events|3
XLI|3
Soothsayer|6
XLII|4
Redemption|4
XLIII|3
Manly|3
Prudence|3
XLIV|3
Stillest|3
Hour|3
THIRD|2
XLV|2
Wanderer|3
XLVI|4
Vision|4
Enigma|4
XLVII|3
Involuntary|2
Bliss|2
XLVIII|3
Before|7
Sunrise|2
XLIX|4
Bedwarfing|4
L|3
On|37
OliveMount|1
LI|4
Passingby|2
LII|3
Apostates|2
LIII|4
